	
    +0	    +0		 +2048	 +2048		 +3809	 +3809		 +5762	 +5762		 +7620	 +7620		 +9355	 +9355		+10938	+10938		+12602	+12602		
+13556	+13556		+14550	+14550		+15311	+15311		+15827	+15827		+16091	+16091		+16098	+16098		+15849	+15849		+15347	+15347		
+14855	+14855		+13875	+13875		+12421	+12421		+11279	+11279		 +9449	 +9449		 +7978	 +7978		 +5870	 +5870		 +4178	 +4178		
 +2164	 +2164		  +116	  +116		 -1932	 -1932		 -4208	 -4208		 -6165	 -6165		 -8029	 -8029		 -9772	 -9772		-11365	-11365		
-12527	-12527		-13749	-13749		-14755	-14755		-15530	-15530		-16060	-16060		-16339	-16339		-16361	-16361		-16126	-16126		
-15894	-15894		-15160	-15160		-14193	-14193		-12750	-12750		-11620	-11620		-10055	-10055		 -8080	 -8080		 -6490	 -6490		
 -4291	 -4291		 -2280	 -2280		  -233	  -233		 +1816	 +1816		 +3582	 +3582		 +5544	 +5544		 +7414	 +7414		 +9165	 +9165		
+11023	+11023		+12196	+12196		+13686	+13686		+14704	+14704		+15236	+15236		+15781	+15781		+16074	+16074		+16111	+16111		
+16146	+16146		+15672	+15672		+14952	+14952		+13742	+13742		+12823	+12823		+11191	+11191		 +9636	 +9636		 +7925	 +7925		
 +6086	 +6086		 +4403	 +4403		 +2395	 +2395		  +350	  +350		 -1700	 -1700		 -3725	 -3725		 -5947	 -5947		 -7567	 -7567		
 -9581	 -9581		-10936	-10936		-12632	-12632		-13877	-13877		-14909	-14909		-15710	-15710		-16013	-16013		-16320	-16320		
-16371	-16371		-16421	-16421		-15962	-15962		-15000	-15000		-14058	-14058		-13151	-13151		-11787	-11787		-10241	-10241		
 -8538	 -8538		 -6705	 -6705		 -4515	 -4515		 -2511	 -2511		  -466	  -466		 +1584	 +1584		 +3611	 +3611		 +5325	 +5325		
 +7463	 +7463		 +9229	 +9229		+10849	+10849		+12299	+12299		+13300	+13300		+14600	+14600		+15415	+15415		+15988	+15988		
+16054	+16054		+16119	+16119		+16184	+16184		+15739	+15739		+14790	+14790		+14117	+14117		+12711	+12711		+11613	+11613		
+10077	+10077		 +8127	 +8127		 +6300	 +6300		 +4627	 +4627		 +2626	 +2626		  +583	  +583		 -1468	 -1468		 -3497	 -3497		
 -5727	 -5727		 -7359	 -7359		 -9132	 -9132		-11017	-11017		-12222	-12222		-13490	-13490		-14547	-14547		-15631	-15631		
-16218	-16218		-16298	-16298		-16378	-16378		-16458	-16458		-15771	-15771		-15092	-15092		-14432	-14432		-13038	-13038		
-11695	-11695		-10169	-10169		 -8739	 -8739		 -6919	 -6919		 -4739	 -4739		 -2741	 -2741		  -700	  -700		 +1352	 +1352		
 +3383	 +3383		 +5105	 +5105		 +7255	 +7255		 +9035	 +9035		+10417	+10417		+12144	+12144		+13423	+13423		+14237	+14237		
+15078	+15078		+15935	+15935		+16030	+16030		+16125	+16125		+16219	+16219		+15546	+15546		+15137	+15137		+13978	+13978		
