    +0	    +0		 +3075	 +3075		 +5858	 +5858		 +9081	 +9081		+11685	+11685		+14662	+14662		+17212	+17212		+19563	+19563		
+21433	+21433		+23567	+23567		+25178	+25178		+26251	+26251		+27286	+27286		+28277	+28277		+28708	+28708		+28581	+28581		
+28412	+28412		+28213	+28213		+27483	+27483		+26240	+26240		+25016	+25016		+23835	+23835		+21954	+21954		+20169	+20169		
+18512	+18512		+16500	+16500		+14421	+14421		+12309	+12309		 +9939	 +9939		 +7855	 +7855		 +5830	 +5830		 +4150	 +4150		
 +2327	 +2327		  +388	  +388		 -1136	 -1136		 -2227	 -2227		 -3639	 -3639		 -4337	 -4337		 -5081	 -5081		 -5613	 -5613		
 -6188	 -6188		 -6045	 -6045		 -6214	 -6214		 -5940	 -5940		 -5493	 -5493		 -4892	 -4892		 -4157	 -4157		 -3056	 -3056		
 -2382	 -2382		 -1393	 -1393		  -372	  -372		  +651	  +651		 +1905	 +1905		 +2852	 +2852		 +3462	 +3462		 +4224	 +4224		
 +4857	 +4857		 +5341	 +5341		 +5912	 +5912		 +5786	 +5786		 +5976	 +5976		 +5704	 +5704		 +5221	 +5221		 +4269	 +4269		
 +3618	 +3618		 +2251	 +2251		  +946	  +946		  -538	  -538		 -1932	 -1932		 -3725	 -3725		 -5893	 -5893		 -7645	 -7645		
 -9718	 -9718		-12084	-12084		-14199	-14199		-16032	-16032		-18062	-18062		-20257	-20257		-22073	-22073		-23481	-23481		
-24963	-24963		-26494	-26494		-27280	-27280		-28070	-28070		-28590	-28590		-28824	-28824		-29019	-29019		-28401	-28401		
-27991	-27991		-26768	-26768		-25505	-25505		-23957	-23957		-22394	-22394		-20323	-20323		-18021	-18021		-15258	-15258		
-12829	-12829		 -9997	 -9997		 -6796	 -6796		 -3770	 -3770		  -700	  -700		 +2378	 +2378		 +5428	 +5428		 +8159	 +8159		
+11302	+11302		+13802	+13802		+16649	+16649		+19048	+19048		+20971	+20971		+23163	+23163		+24836	+24836		+26230	+26230		
+27077	+27077		+27880	+27880		+28380	+28380		+28578	+28578		+28732	+28732		+28085	+28085		+27672	+27672		+26742	+26742		
+25314	+25314		+24179	+24179		+22594	+22594		+20843	+20843		+18956	+18956		+16964	+16964		+14898	+14898		+12535	+12535		
+10418	+10418		 +8325	 +8325		 +6284	 +6284		 +4325	 +4325		 +2474	 +2474		  +757	  +757		  -805	  -805		 -1938	 -1938		
 -3394	 -3394		 -4394	 -4394		 -5187	 -5187		 -5511	 -5511		 -5878	 -5878		 -6037	 -6037		 -6251	 -6251		 -5762	 -5762		
 -5353	 -5353		 -4785	 -4785		 -4079	 -4079		 -3257	 -3257		 -2600	 -2600		 -1621	 -1621		  -605	  -605		  +419	  +419		
 +1426	 +1426		 +2643	 +2643		 +3274	 +3274		 +4061	 +4061		 +4982	 +4982		 +5501	 +5501		 +5600	 +5600		 +5773	 +5773		
 +6009	 +6009		 +5528	 +5528		 +5093	 +5093		 +4701	 +4701		 +3842	 +3842		 +2521	 +2521		 +1259	 +1259		   +69	   +69		
 -1800	 -1800		 -3306	 -3306		 -5449	 -5449		 -7438	 -7438		 -9499	 -9499		-11603	-11603		-13464	-13464		-15561	-15561		
-17607	-17607		-19826	-19826		-21417	-21417		-23374	-23374		-24900	-24900		-26224	-26224		-27065	-27065		-28170	-28170		
-28752	-28752		-29052	-29052		-28804	-28804		-28766	-28766		-28169	-28169		-27014	-27014		-25817	-25817		-24589	-24589		
-22830	-22830		-20815	-20815		-18307	-18307		-15844	-15844		-13197	-13197		-10396	-10396		 -7729	 -7729		 -4719	 -4719		
 -1655	 -1655		 +1423	 +1423		 +4483	 +4483		 +7743	 +7743		+10400	+10400		+13189	+13189		+15820	+15820		+18521	+18521		
+20752	+20752		+22489	+22489		+24224	+24224		+25938	+25938		+26852	+26852		+27980	+27980		+28293	+28293		+28559	+28559		
+28781	+28781		+28455	+28455		+27592	+27592		+26975	+26975		+25856	+25856		+24257	+24257		+22714	+22714		+21254	+21254		
+19140	+19140		+17424	+17424		+15372	+15372		+13016	+13016		+10899	+10899		 +9053	 +9053		 +6997	 +6997		 +4761	 +4761		
 +3140	 +3140		 +1390	 +1390		  -208	  -208		 -1894	 -1894		 -3138	 -3138		 -4185	 -4185		 -4769	 -4769		 -5653	 -5653		
 -5813	 -5813		 -6019	 -6019		 -6022	 -6022		 -5831	 -5831		 -5716	 -5716		 -5183	 -5183		 -4251	 -4251		 -3709	 -3709		
